City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lumphat,KH,72.05,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
1,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
3,Rikitea,PF,72.3,broken clouds,-23.1203,-134.9692,People ThankYou
8,Kavieng,PG,82.67,broken clouds,-2.5744,150.7967,Nusa Island Retreat
11,Havelock,US,75.92,overcast clouds,34.8791,-76.9013,Sherwood Motel
13,Avarua,CK,75.25,clear sky,-21.2078,-159.775,Paradise Inn
14,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
18,Guerrero Negro,MX,77.95,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
22,Thompson,CA,78.96,few clouds,55.7435,-97.8558,Burntwood Hotel
23,Murud,IN,77.36,overcast clouds,18.3258,72.965,On Point Plaza
25,Wajima,JP,77.58,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
30,Albany,US,86.88,scattered clouds,42.6001,-73.9662,
34,Ugoofaaru,MV,81.39,overcast clouds,5.6667,73.0,Ungoofaaru Inn
35,Butaritari,KI,80.98,clear sky,3.0707,172.7902,Isles Sunset Lodge
37,Verkhniy Baskunchak,RU,74.91,overcast clouds,48.2256,46.7217,Kombat
40,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
41,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Hamilton,US,85.05,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
47,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
50,Do Gonbadan,IR,86.09,few clouds,30.3586,50.7981,مسافرخانه شادی
51,Shingu,JP,85.55,overcast clouds,33.7333,135.9833,Shingu UI Hotel
52,Dhanera,IN,77.41,broken clouds,24.5167,72.0167,પ્રહલાદભાઈ. એસ. માળી
