City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lumphat,KH,13.4878,106.9816,72.05,99,100,2.17,overcast clouds
1,Vaini,TO,-21.2,-175.2,75.36,78,20,13.8,few clouds
2,Berlevag,NO,70.8578,29.0864,64.4,82,40,8.05,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,72.3,73,55,3.74,broken clouds
4,Neuquen,AR,-38.9516,-68.0591,62.49,8,0,0.0,clear sky
5,Byron Bay,AU,-28.65,153.6167,59.7,62,19,7.83,few clouds
6,Ushuaia,AR,-54.8,-68.3,35.26,93,100,27.63,light rain
7,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.42,77,99,29.91,overcast clouds
8,Kavieng,PG,-2.5744,150.7967,82.67,73,57,11.68,broken clouds
9,Bluff,NZ,-46.6,168.3333,47.8,72,64,7.7,broken clouds
10,Voznesenye,RU,61.0106,35.4781,62.35,68,79,6.87,broken clouds
11,Havelock,US,34.8791,-76.9013,75.92,94,100,12.66,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,57.11,76,40,8.05,scattered clouds
13,Avarua,CK,-21.2078,-159.775,75.25,78,0,11.5,clear sky
14,Bathsheba,BB,13.2167,-59.5167,83.01,83,20,16.11,few clouds
15,Port Alfred,ZA,-33.5906,26.891,58.41,68,4,26.02,clear sky
16,Busselton,AU,-33.65,115.3333,55.87,71,93,3.04,overcast clouds
17,Vilhena,BR,-12.7406,-60.1458,62.82,55,0,13.8,clear sky
18,Guerrero Negro,MX,27.9769,-114.0611,77.95,61,64,13.85,broken clouds
19,Salta,AR,-24.7859,-65.4117,57.79,19,0,13.8,clear sky
20,Kaitangata,NZ,-46.2817,169.8464,50.72,85,20,4.79,light rain
21,Te Anau,NZ,-45.4167,167.7167,50.77,68,67,2.46,broken clouds
22,Thompson,CA,55.7435,-97.8558,78.96,38,20,4.61,few clouds
23,Murud,IN,18.3258,72.965,77.36,91,100,6.29,overcast clouds
