City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,58.21,79,100,19.08,AU,2022-08-16 00:06:40
1,Nelson Bay,-32.7167,152.15,60.01,68,49,10.0,AU,2022-08-16 00:06:41
2,Cidreira,-30.1811,-50.2056,60.93,97,79,7.2,BR,2022-08-16 00:06:41
3,Camacha,33.0833,-16.3333,71.02,88,40,11.5,PT,2022-08-16 00:06:42
4,Victoria,22.2855,114.1577,86.38,86,44,5.01,HK,2022-08-16 00:04:55
5,Pisco,-13.7,-76.2167,62.02,82,3,20.71,PE,2022-08-16 00:05:00
6,San Jose,37.3394,-121.895,101.7,32,0,12.66,US,2022-08-16 00:06:43
7,Vostok,46.4856,135.8833,67.64,67,28,4.61,RU,2022-08-16 00:06:43
8,Guilin,25.2819,110.2864,80.67,86,92,2.06,CN,2022-08-16 00:06:43
9,Alice Springs,-23.7,133.8833,56.75,41,12,8.05,AU,2022-08-16 00:06:44
10,Mackay,-21.15,149.2,71.69,35,0,5.88,AU,2022-08-16 00:06:44
11,San Patricio,28.017,-97.5169,85.95,66,100,12.17,US,2022-08-16 00:06:44
12,Debre Tabor,11.85,38.0167,51.87,97,100,1.74,ET,2022-08-16 00:06:45
13,Souillac,-20.5167,57.5167,68.07,82,22,9.64,MU,2022-08-16 00:06:45
14,Korla,41.7597,86.1469,82.17,37,98,11.52,CN,2022-08-16 00:06:46
15,San Lazaro,18.0387,-88.6622,80.15,86,75,6.4,BZ,2022-08-16 00:06:46
16,Albany,42.6001,-73.9662,77.4,55,66,1.9,US,2022-08-16 00:05:32
17,Keuruu,62.2667,24.7,64.58,86,76,3.53,FI,2022-08-16 00:06:47
18,Barrow,71.2906,-156.7887,35.62,93,100,16.11,US,2022-08-16 00:06:47
19,Mataura,-46.1927,168.8643,55.47,63,76,3.33,NZ,2022-08-16 00:06:47
20,Kyra,49.5776,111.9753,62.76,66,7,2.86,RU,2022-08-16 00:06:48
21,Castro,-24.7911,-50.0119,60.21,68,0,5.59,BR,2022-08-16 00:06:48
22,Jamestown,42.097,-79.2353,69.39,71,75,1.99,US,2022-08-16 00:06:09
23,Rikitea,-23.1203,-134.9692,73.36,76,1,14.54,PF,2022-08-16 00:06:49
24,Kinwat,19.6333,78.2,72.77,92,100,11.56,IN,2022-08-16 00:06:49
25,Atlantic City,39.3643,-74.4229,74.01,71,0,5.75,US,2022-08-16 00:05:22
26,Flinders,-34.5833,150.8552,61.38,58,62,8.99,AU,2022-08-16 00:06:50
27,Dikson,73.5069,80.5464,41.18,96,100,21.05,RU,2022-08-16 00:06:50
